,banglaname,banglishnames
1126,জনি বেয়ারস্টো,Jonny Bairstow
1127,জর্দি আলবা,Jordi Alba
1128,জর্দি মাসিপ,Jordi Masip
1129,জহুর খান,Zahoor Khan
1130,নাসির জামশেদ,Nasir Jamshed
1131,জাহাঙ্গীর আলম,Jahangir Alam
1132,জুপিটার ঘোষ,Jupiter Ghosh
1133,জেনিফার মরিয়া,Jennifer Morilla
1134,জো বার্নস,Joe Burns
1135,জোয়া মোরানি,Zoa Morani
1136,টনি উরা,Tony Ura
1137,টবি অল্ডারওয়েরেল্ড,Toby Alderweireld
1138,টেইলর সুইফট,Taylor Swift
1139,সারাহ টেইলর,Sarah Taylor
1140,জুনো টেম্পল,Juno Temple
1141,ট্যানিয়া বার,Tanya Burr
1142,কেলি ম্যারি ট্রান,Kelly Marie Tran
1143,ট্রেন্ট বোল্ট,Trent Boult
1144,সোফি ডিভাইন,Sophie Devine
1145,ডেভিড মিলার,David Miller
1146,ডোয়েন প্রিটোরিয়াস,Dwaine Pretorius
1147,ড্যানিয়েল র‌্যাডক্লিফ,Daniel Radcliffe
1148,ড্যানিয়েল স্টারিজ,Daniel Sturridge
1149,তামান্না,Tamannaah
1150,তামিম ইকবাল,Tamim Iqbal
1151,আয়সেল তেমুরজাদেহ,Aysel Teymurzadeh
1152,তোমাস ত্রিগো,Tomas Trigo
1153,থিসারা পেরেরা,Thisara Perera
1154,জুনিয়র দালা,Junior Dala
1155,ফ্রেঙ্কি দি ইয়ং,Frenkie de Jong
1156,দিনেশ চান্ডিমাল,Dinesh Chandimal
1157,দিয়াফ্রা সাখো,Diafra Sakho
1158,দীপিকা সিং,Deepika Singh
1159,বিজয় দেবরকোন্ডা,Vijay Deverakonda
1160,নমিনজিন,Nominjin
1161,নরদিন আম্রাবাত,Nordin Amrabat
1162,নরসিং পঞ্চম যাদব,Narsingh Pancham Yadav
1163,সনি নর্দে,Sony Norde
1164,নাতাশা স্টানকোভিচ,Nataša Stanković
1165,নিকোল বোল্টন,Nicole Bolton
1166,নিকোলাস দেলমন্তে,Nicolás Delmonte
1167,নিকোলাস হল্ট,Nicholas Hoult
1168,নিনা ডব্রেভ,Nina Dobrev
1169,নীনা দাবুলুরী,Nina Davuluri
1170,নেতো,Neto
1171,পায়েল ঘোষ,Payal Ghosh
1172,পার্ল মানে,Pearle Maaney
1173,পিউডিপাই,PewDiePie
1174,পিচেস হানিব্লসম গেল্ডফ,Peaches Geldof
1175,পূজা শর্মা,Pooja Sharma
1176,ভূমি পেডনেকর,Bhumi Pednekar
1177,পেদ্রো রবার্তো সিলভা বোতেলহো,Pedro Roberto Silva Botelho
1178,পেনি প্যাক্স,Penny Pax
1179,ইভান পেরিশিচ,Ivan Perišić
1180,এ্যানা পোলিনা,Anna Polina
1181,শেম এনগোচে,Shem Ngoche
1182,প্রিয়া ভবানী শঙ্কর,Priya Bhavani Shankar
1183,রাসি ফন ডার ডাসেন,Rassie van der Dussen
1184,ফাগনার কনসার্ভা লেমোস,Fagner Conserva Lemos
1185,ফারুক বিন মুস্তফা,Farouk Ben Mustapha
1186,স্টিভেন ফিন,Steven Finn
1187,ফ্যাবিয়ান ডেলফ,Fabian Delph
1188,বরুণ আরন,Varun Aaron
1189,ললিতা বাবর,Lalita Babar
1190,বিক্রম সিং চৌহান,Vikram Singh Chauhan
1191,বিশাল আদিত্য সিং,Vishal Aditya Singh
1192,অপু বিশ্বাস,Apu Biswas
1193,লিলি রানী বিশ্বাস,Lily Rani Biswas
1194,বীরস্বামী পারমল,Veerasammy Permaul
1195,বেইলি,Bayley
1196,অ্যাশলে বেনসন,Ashley Benson
1197,ব্রিটনি কুপার,Britney Cooper
1198,ড্যারেন ব্র্যাভো,Darren Bravo
1199,ভক্তি শর্মা,Bhakti Sharma
1200,ভিক্টোরিয়া আজারেঙ্কা,Victoria Azarenka
1201,হরদাস ভিলজোয়েন,Hardus Viljoen
1202,মধু শালিনী,Madhu Shalini
1203,মনজিত সিং,Manjit Singh
1204,বিলি মর্গান,Billy Morgan
1205,মাইকা ক্রিস্টেনসেন,Meica Horsburgh
1206,মাকো মায়িন,Marko Marin
1207,মাচেই রেবুস,Maciej Rybus
1208,গীতা মাধুরী,Geetha Madhuri
1209,মায়া আলী,Maya Ali
1210,মারওয়ান মোহসেন,Marwan Mohsen
1211,মার্ক র‌্যান্ডাল,Mark Randall
1212,মার্কিপ্লায়ার,Markiplier
1213,মার্কো রয়েস,Marco Reus
1214,মিগনন দু প্রিজ,Mignon du Preez
1215,মিঠুন চৌধুরী মিঠুন,Mithun Chowdhury
1216,মিনহাজ উদ্দিন আহমেদ,Minhazuddin Ahmed Sagar
1217,মুক্তার আলী,Muktar Ali
1218,মুনির মোহান্দ মোহামেদী,Munir Mohand Mohamedi
1219,মেহদী হাসান খান,Mehdi Hasan Khan
1220,মেহদী কারসেলা,Mehdi Carcela
1221,মোসাদ্দেক ইফতেখার,Mosaddek Iftekhar
1222,মোহাম্মদ পনির হোসেন,Mohammad Ponir Hossain
1223,মোহাম্মদ রশিদ মাজাহেরী,Mohammad Rashid Mazaheri
1224,ম্যাথু জারম্যান,Matthew Jurman
1225,রণ মুস্তফা,Ron Mustafaa
1226,রবার্ট টেলর,Robert Taylor
1227,রাই লক্ষ্মী,Raai Laxmi
1228,গুল হাসান খান,Gul Hassan Khan
1229,রোজালিন ইয়ালো,Rosalyn Sussman Yalow
1230,অভি ভট্টাচার্য,Abhi Bhattacharya
1231,অহল্যা চারি,Ahalya Chari
1232,অ্যালানুশ তেরিয়ান,Alenush Terian
1233,আবদুল গফুর ভুরগরী,Abdul Ghafoor Bhurgri
1234,আবদুস সালাম আরিফ,Abdul Salam Arif
1235,আবু সাঈদ চৌধুরী,Abu Sayeed Chowdhury
1236,আব্দুল মতিন চৌধুরী,Abdul Matin Chowdhury
1237,আমিনুল হক,Aminul Haque
1238,আর্থার লিওনার্ড শলো,Arthur Leonard Schawlow
1239,আলেকজান্ডার ডুবচেক,Alexander Dubček
1240,আলেক্স হেলি,Alex Haley
1241,আহমদ শরীফ,Ahmed Sharif
1242,পিটার ইউস্টিনফ,Peter Ustinov
1243,ইয়োইচিরো নাম্বু,Yoichiro Nambu
1244,বেটি উইলসন,Betty Wilson
1245,ভিক উইলসন,Vic Wilson
1246,উমা বসু,Uma Bose
1247,এআরএম ইনামুল হক,ARM Inamul Haque
1248,এম. এ. আজিজ,M. A. Aziz
1249,কাজী আফসারউদ্দীন আহমদ,Qazi Afsaruddin Ahmed
1250,ডেবরা কার,Deborah Kerr
1251,কেনেথ অ্যারো,Kenneth Arrow
1252,ন্যান্সি কেলি,Nancy Kelly
1253,খন্দকার আবু তালেব,Khondakar Abu Taleb
1254,খাজা হাসান আসকারি,Khwaja Hassan Askari
1255,অ্যান্ডি গ্যানটিউম,Andy Ganteaume
1256,চার্লি মিটেন,Charlie Mitten
1257,চিদানন্দ দাসগুপ্ত,Chidananda Dasgupta
1258,চৌধুরী গোলাম আকবর,Chowdhury Gulam Akbar
1259,ক্যারল চ্যানিং,Carol Channing
1260,জগন্নাথ গঙ্গোপাধ্যায়,Jagannath Ganguly
1261,ভিয়োলেট জাবো,Violette Szabo
1262,জিওফ্রে উইল্কিন্সন,Geoffrey Wilkinson
1263,জোগিন্দর সিং,Joginder Singh
1264,জ্যাক স্টাইনবার্গার,Jack Steinberger
1265,লেস জ্যাকসন,Les Jackson
1266,টমাস শেলিং,Thomas Schelling
1267,লানা টার্নার,Lana Turner
1268,তপেশ্বর নারায়ণ রায়না,Tapishwar Narain Raina
1269,তৈয়বা মজুমদার,Taiyaba Majumder
1270,নরম্যান জোসেফ উডল্যান্ড,Norman Joseph Woodland
1271,নীলমণি ঠাকুর,Nilmoni Tagore
1272,নীলিমা ইব্রাহিম,Nilima Ibrahim
1273,ন্যান্সি রিগ্যান,Nancy Reagan
1274,পলান সরকার,Polan Sarkar
1275,পানানমল পাঞ্জাবী,Pananmal Punjabi
1276,পি. ভি. নরসিংহ রাও,P. V. Narasimha Rao
1277,কলিন পিঞ্চ,Colin Pinch
1278,ল্যান্স পিয়েরে,Lance Pierre
1279,সিরিল পুল,Cyril Poole
1280,ফণীশ্বরনাথ রেণু,Phanishwar Nath \Renu\
1281,মিশরের ফাওযিয়া ফুয়াদ,Fawzia Fuad of Egypt
1282,ফাহাদ বিন আবদুল আজিজ,Fahd of Saudi Arabia
1283,ফ্রান্সেস স্কট ফিট্‌জেরাল্ড,Frances Scott Fitzgerald
1284,বিজয়া রায়,Bijoya Ray
1285,বিমল কর,Bimal Kar
1286,ডার্ক বোগার্ড,Dirk Bogarde
1287,ভাগবতী সিং বিশারদ,Bhagwati Singh Visharad
1288,ভাস্কো গনসালভস,Vasco Gonçalves
1289,বারীণ মজুমদার,Barin Mazumder
1290,মাধব মন্ত্রী,Madhav Mantri
1291,মফিজ উদ্দিন আহমেদ,Mafizuddin Ahmed
1292,মফীদা আহমেদ,Mofida Ahmed
1293,মায়াবরাম সরস্বতী আম্মাল,Mayavaram Saraswathi Ammal
1294,ফ্রাঙ্ক মুনি,Frank Mooney
1295,মোহাম্মদ আবু নাসের,Mohammed Abu Naser
1296,গুল মোহাম্মদ,Gul Mohammad
1297,নজর মোহাম্মদ,Nazar Mohammad
1298,মোহাম্মদউল্লাহ,Mohammad Mohammadullah
1299,গাজী শামছুর রহমান,Gazi Shamsur Rahman
1300,জিওফ রাবোন,Geoff Rabone
1301,শিবনারায়ণ রায়,Sibnarayan Ray
1302,সত্যজিৎ রায়,Satyajit Ray
1303,রাসীপুরম কৃষ্ণস্বামী লক্ষ্মণ,R. K. Laxman
1304,ডোনা রিড,Donna Reed
1305,রেহমান,Rehman
1306,অ্যাথল রোয়ান,Athol Rowan
1307,স্যাম লক্সটন,Sam Loxton
1308,লতফি জাদেহ,Lotfi A. Zadeh
1309,লিনাস নির্মল গোমেজ,Linus Nirmal Gomes
1310,রে লিন্ডওয়াল,Ray Lindwall
1311,আন্দ্রে শাখারভ,Andrei Sakharov
1312,শেখ আবুবকর আহমদ,Kanthapuram A. P. Aboobacker Musliyar
1313,শেখ লুতফর রহমান,Sheikh Luthfur Rahman
1314,প্রভাতরঞ্জন সরকার,Prabhat Ranjan Sarkar
1315,সিমন সিনিয়রে,Simone Signoret
1316,সুজান পিটার্স,Susan Peters
1317,সুহার্তো,Suharto
1318,সৈয়দ নুরুল হাসান,Saiyid Nurul Hasan
1319,সৈয়দ মীর কাসিম,Syed Mir Qasim
1320,সৈয়দ মোহাম্মদ আহসান,Syed Mohammad Ahsan
1321,সোমনাথ হোড়,Somnath Hore
1322,সোহরাব হোসেন,Muhammad Sohrab Hossain
1323,জেফ স্টলমেয়ার,Jeff Stollmeyer
1324,হরি চাঁদ দেওয়ান,Hari Chand Dewan
1325,জুডি হলিডে,Judy Holliday
1326,আবদুল গনি হাজারী,Abdul Ghani Hazari
1327,কামরুল হাসান,Quamrul Hassan
1328,জর্জ রয় হিল,George Roy Hill
1329,হুয়া গুফেং,Hua Guofeng
1330,হুয়ান জাম্বুদিও বেলাস্কো,Juan Zambudio Velasco
1331,জেমস হোয়াইটমোর,James Whitmore
1332,আত্তিয়া হোসেন,Attia Hosain
1333,হোমি ব্যারাবালা,Homai Vyarawalla
1334,মরিস ভিনসেন্ট উইলকিস,Maurice Wilkes
1335,আদেল উদ্দিন আহমেদ,Adeluddin Ahmad
1336,আবদুর রহমান আল-বাজাজ,Abd al-Rahman al-Bazzaz
1337,আবদুল্লাহ বিন আলি,\Abd al-Ilah
1338,আবুল হাসান আলী নদভী,Abul Hasan Ali Hasani Nadwi
1339,আব্দুল লতিফ চৌধুরী ফুলতলী,Abdul Latif Chowdhury Fultali
1340,আয়েশা আবদুর রহমান,Aisha Abd al-Rahman
1341,আলবেয়ার কামু,Albert Camus
1342,আলভারো কুনহাল,Álvaro Cunhal
1343,লরেট্টা ইয়ং,Loretta Young
1344,উইলি ব্র‌্যান্ট,Willy Brandt
1345,উইলিয়াম হিউলেট,Bill Hewlett
1346,উইলিস ল্যাম্ব,Willis Lamb
1347,এডওয়ার্ড গিএরেক,Edward Gierek
1348,এমে সেজ্যার,Aimé Césaire
1349,এলেন কর্বি,Ellen Corby
1350,কল্পনা দত্ত,Kalpana Datta
1351,অ্যান্থনি কোয়েল,Anthony Quayle
1352,সিরিল ক্রিস্টিয়ানি,Cyril Christiani
1353,খালিদ বিন আবদুল আজিজ,Khalid of Saudi Arabia
1354,গাঙ্গুবাঈ হাঙ্গল,Gangubai Hangal
1355,জন গারফিল্ড,John Garfield
1356,পল গিব,Paul Gibb
1357,গোপালচন্দ্র মুখোপাধ্যায়,Gopal Chandra Mukhopadhyay
1358,চিত্রনিভা চৌধুরী,Chitranibha Chowdhury
1359,জেকো আরবেঞ্জ,Jacobo Árbenz
1360,জেরাল্ড ফোর্ড,Gerald Ford
1361,জেসি ওয়েন্স,Jesse Owens
1362,জ্যান কুবিশ,Jan Kubiš
1363,তাহিরা তাহিরোভা,Tahira Tahirova
1364,থাকিন বা হিয়েন,Thakin Ba Hein
1365,দীনেশ দাস,Dinesh Das
1366,নিখিল চক্রবর্তী,Nikhil Chakravarty
1367,পরমশিব প্রভাকর কুমারমঙ্গল,Paramasiva Prabhakar Kumaramangalam
1368,পল এর্ডশ,Paul Erdős
1369,প্রতুল চন্দ্র সরকার,P. C. Sorcar
1370,প্রদ্যোতকুমার ভট্টাচার্য,Pradyot Kumar Bhattacharya
1371,জেরাল্ডিন ফিট্‌জেরাল্ড,Geraldine Fitzgerald
1372,হ্যারল্ড বাটলার,Harold Butler
1373,লেন বাটারফিল্ড,Len Butterfield
1374,বিভা চৌধুরী,Bibha Chowdhuri
1375,জঁ মারে,Jean Marais
1376,মার্ভিন চোডোরো,Marvin Chodorow
1377,রামোন মের্কাদের,Ramón Mercader
1378,মেনাখেম বেগিন,Menachem Begin
1379,রজতকুমার সেন,Rajat Sen
1380,রজার স্পেরি,Roger Wolcott Sperry
1381,রামচন্দ্র দাস পরমহংস,Ramchandra Das Paramhans
1382,রিচার্ড নিক্সন,Richard Nixon
1383,রোজা পার্কস,Rosa Parks
1384,লন নল,Lon Nol
1385,লিওনিদাস,Leônidas
1386,বার্ট ল্যাঙ্কেস্টার,Burt Lancaster
1387,জন এন. শিভ,John N. Shive
1388,সুশীতল রায়চৌধুরী,Sushital Ray Chowdhary
1389,স্নেহাংশুকান্ত আচার্য,Snehansu Kanta Acharya
1390,ডেনিস স্মিথ,Dennis Smith
1391,ট্রেভর হাওয়ার্ড,Trevor Howard
1392,হেডি লেমার,Hedy Lamarr
1393,লিন্ডসে হ্যাসেট,Lindsay Hassett
1394,আজিজ আহমেদ,Aziz Ahmed
1395,স্টুয়ার্ট মিলনার-ব্যারি,Stuart Milner-Barry
1396,অজয় ভট্টাচার্য,Ajay Bhattacharya
1397,অটো প্রেমিঙার,Otto Preminger
1398,অনন্তহরি মিত্র,Anantahari Mitra
1399,মরিস অলম,Maurice Allom
1400,ম্যারি অ্যাস্টর,Mary Astor
1401,আবদুল কাদির,Abdul Quadir
1402,আবদুস সাত্তার,Abdus Sattar
1403,আব্দুস সালাম খান,Abdus Salam Khan
1404,আমিরবাই কর্ণটকি,Amirbai Karnataki
1405,আর. কে. নারায়ণ,R. K. Narayan
1406,আর্নস্ট রুস্কা,Ernst Ruska
1407,নাজির আলী,Nazir Ali
1408,ইফতেখার হুসাইন খান মামদুত,Iftikhar Hussain Khan Mamdot
1409,এডলফ আইখম্যান,Adolf Eichmann
1410,এর্নস্ট বরিস কাইন,Ernst Chain
1411,ফ্রাঙ্ক ওয়ার্ড,Frank Ward
1412,কুর্ট গ্যোডেল,Kurt Gödel
1413,নরম্যান গালিচান,Norman Gallichan
1414,গোপীনাথ সাহা,Gopinath Saha
1415,চন্দ্রশেখর আজাদ,Chandra Shekhar Azad
1416,জন ডিকসন কার,John Dickson Carr
1417,জর্জ ওয়াল্ড,George Wald
1418,জুনিয়াস রিচার্ড জয়েবর্ধনে,J. R. Jayewardene
1419,জেমস ই. ওয়েব,James E. Webb
1420,জেমস হ্যাডলি চেজ,James Hadley Chase
1421,জোসেফিন বেকার,Josephine Baker
1422,মরিস টার্নবুল,Maurice Turnbull
1423,এরিক ডাল্টন,Eric Dalton
1424,থাকিন সো,Thakin Soe
1425,দেওয়ান মোহাম্মদ আজরফ,Dewan Mohammad Azraf
1426,শচীন দেববর্মণ,S. D. Burman
1427,পাহাড়ী সান্যাল,Pahari Sanyal
1428,ফয়সাল বিন আবদুল আজিজ,Faisal of Saudi Arabia
1429,অ্যালেন ফেয়ারফ্যাক্স,Alan Fairfax
1430,হেনরি ফোলি,Henry Foley
1431,বার্টো বার্টলেট,Barto Bartlett
1432,বিব্বো,Bibbo
1433,বিলি ওয়াইল্ডার,Billy Wilder
1434,স্যান্ডি বেল,Sandy Bell
1435,হারমিওন ব্যাডেলি,Hermione Baddeley
1436,ভেঙ্কটালক্ষাম্মা,K. Venkatalakshamma
1437,ভ্লাডিমির প্রেলগ,Vladimir Prelog
1438,ডেনিস মরকেল,Denys Morkel
1439,অ্যান্টনি মান,Anthony Mann
1440,মারিয়া গ্যোপের্ট-মায়ার,Maria Goeppert Mayer
1441,মার্সেলো কাইতান,Marcelo Caetano
1442,মাহমুদা খাতুন সিদ্দিকা,Mahmuda Khatun Siddiqua
1443,বন্দে আলী মিয়া,Bande Ali Mia
1444,মুহাম্মদ হামিদ আলী,Muhammad Hamid Ali
1445,ম্যাক্স ডেলবুর্ক,Max Delbrück
1446,ম্যাল ম্যাথসন,Mal Matheson
1447,যোগেন্দ্রনাথ মণ্ডল,Jogendra Nath Mandal
1448,ওয়াল্টার রবিন্স,Walter Robins
1449,রামকিঙ্কর বেইজ,Ramkinkar Baij
1450,কিথ রিগ,Keith Rigg
1451,ক্যারল রিড,Carol Reed
1452,রোবার্তো রোসেলিনি,Roberto Rossellini
1453,লিওনিদ ব্রেজনেভ,Leonid Brezhnev
1454,লুকিনো ভিস্‌কন্তি,Luchino Visconti
1455,লুইস ফেদেরিকো লেলইর,Luis Federico Leloir
1456,জেমস ল্যাংগ্রিজ,James Langridge
1457,শকুন্তলা পরাঞ্জপে,Shakuntala Paranjpye
1458,সইচিরো হোন্ডা,Soichiro Honda
1459,সতীনাথ ভাদুড়ী,Satinath Bhaduri
1460,সাইয়েদ কুতুব,Sayyid Qutb
1461,সিন-ইতিরো তোমোনাগা,Shin\ichirō Tomonaga
1462,জিম স্মিথ,Jim Smith
1463,জর্জ স্যান্ডার্স,George Sanders
1464,হবীবুল্লাহ বাহার চৌধুরী,Habibullah Bahar Chowdhury
1465,হানা আরেন্ট,Hannah Arendt
1466,হান্স বেটে,Hans Bethe
1467,হাসান আল বান্না,Hassan al-Banna
1468,জন হিউস্টন,John Huston
1469,হুমায়ুন কবির,Humayun Kabir
1470,হ্যারি হপম্যান,Harry Hopman
1471,মহম্মদ হামিদ আনসারি,Mohammad Hamid Ansari
1472,ইলিয়াস আজমী,Iliyas Azmi
1473,রাস্কিন বন্ড,Ruskin Bond
1474,ইউরি গ্যাগারিন,Yuri Gagarin
1475,সুজাতা মনোহর,Sujata Manohar
1476,বিজয়া মেহতা,Vijaya Mehta
1477,কেশরী নাথ ত্রিপাঠী,Keshari Nath Tripathi
1478,অতো রেনে কাস্তিলো,Otto René Castillo
1479,অ্যালেক্সি লিওনভ,Alexei Leonov
1480,মোবিনুল আজিম,Mubinul Azim
1481,আন্দ্রে বেলি,Andrei Bely
1482,অরবিন্দ আপ্তে,Arvind Apte
1483,আবদুর রউফ,Abdur Rouf
1484,আবদুল গাফফার চৌধুরী,Abdul Gaffar Chowdhury
1485,আবু সালেহ মোহাম্মদ মুস্তাফিজুর রহমান,Abu Saleh Mohammad Mustafizur Rahman
1486,আবুল মাল আবদুল মুহিত,Abul Maal Abdul Muhith
1487,অ্যালান আর্কিন,Alan Arkin
1488,আহমেদ রুশদি,Ahmed Rushdi
1489,ইলিয়াস আহমেদ চৌধুরী,Ilias Ahmed Chowdhury
1490,রফিকুল ইসলাম,Rafiqul Islam
1491,উইলিয়াম শার্প,William F. Sharpe
1492,এ. টি. এম. আফজাল,A. T. M. Afzal
1493,এদিত ক্রেসোঁ,Édith Cresson
1494,এবিএম গোলাম মোস্তফা,ABM Ghulam Mostafa
1495,আবু জাফর ওবায়দুল্লাহ,Abu Zafar Obaidullah
1496,ওলে সোয়েনকা,Wole Soyinka
1497,নরি কন্ট্রাক্টর,Nari Contractor
1498,কমলা সুরাইয়া,Kamala Surayya
1499,কাজী মুহাম্মদ শফিউল্লাহ,K M Shafiullah
1500,কামাল লোহানী,Kamal Lohani
1501,কার্ল সেগান,Carl Sagan
1502,কার্লো রুবিয়া,Carlo Rubbia
1503,কুমারী কমলা,Kumari Kamala
1504,কেইট মিলেট,Kate Millett
1505,লিওনার্ড কোহেন,Leonard Cohen
1506,লিন্ডসে ক্লাইন,Lindsay Kline
1507,ক্লাইভ গ্রেঞ্জার,Clive Granger
1508,খলিল উল্লাহ খান,Khalil Ullah Khan
1509,খালিদ খান,Khalid Khan
1510,সুনীল গঙ্গোপাধ্যায়,Sunil Gangopadhyay
1511,জন গাই,John Guy
1512,ল্যান্স গিবস,Lance Gibbs
1513,রয় গিলক্রিস্ট,Roy Gilchrist
1514,বালু গুপ্তে,Baloo Gupte
1515,গুলজার,Gulzar
1516,মোহিত চট্টোপাধ্যায়,Mohit Chattopadhyay
1517,জর্জ চাকিরিস,George Chakiris
1518,চার্লস ম্যানসন,Charles Manson
1519,চিত্রা সেন,Chitra Sen
1520,কাইয়ুম চৌধুরী,Qayyum Chowdhury
1521,জন লুইস হল,John L. Hall
1522,জনি হেইন্স,Johnny Haynes
1523,জর্জ স্পারলিং,George Sperling
1524,জেন গুডঅল,Jane Goodall
1525,জোনাস স্যাভিম্বি,Jonas Savimbi
1526,শার্লি জোন্স,Shirley Jones
1527,জ্ঞানমতী মাতাজি,Gyanmati
1528,টোনি হোর,Tony Hoare
1529,জুডি ডেঞ্চ,Judi Dench
1530,ডেভিড হান্ট,David Hunt
1531,ড্যানি চামাউন,Dany Chamoun
1532,ড্যানিয়েল কানেমান,Daniel Kahneman
1533,তানভীর আব্বাসী,Tanveer Abbasi
1534,সেলিম দুরাণী,Salim Durani
1535,নায়েফ বিন আবদুল আজিজ,Nayef bin Abdulaziz Al Saud
1536,নিকলাউস ভির্ট,Niklaus Wirth
1537,নিমাই ঘোষ,Nemai Ghosh
1538,পদ্মাবতী অনন্তগোপালন,Padmavathy Ananthagopalan
1539,পল জোসেফ কোহেন,Paul Cohen
1540,পিটার ম্যাথিউজ,Peter Hugoe Matthews
1541,পুরান,Pooran
1542,পুলক বন্দ্যোপাধ্যায়,Pulak Bandyopadhyay
1543,প্রতিভা দেবীসিংহ পাটিল,Pratibha Patil
1544,ফজলে রাব্বি চৌধুরী,TIM Fazle Rabbi Chowdhury
1545,ফারুক আহমেদ চৌধুরী,Faruq Ahmed Choudhury
1546,পিটার ফিলপট,Peter Philpott
1547,ফ্রান্সিসকো ডি সা কার্নিওরো,Francisco de Sá Carneiro
1548,লুইস ফ্লেচার,Louise Fletcher
1549,বরুণ সেনগুপ্ত,Barun Sengupta
1550,সিডনি বার্ক,Sydney Burke
1551,ভি. বিক্রমরাজু,V. Vikramraju
1552,বিনয় মজুমদার,Binoy Majumdar
1553,অ্যালান বেট্‌স,Alan Bates
1554,শ্যাম বেনেগল,Shyam Benegal
1555,চান্দু বোর্দে,Chandu Borde
1556,ব্রিজিট বার্ডো,Brigitte Bardot
1557,ভাভা,Vavá
1558,মরিয়ম জামিলা,Maryam Jameelah
1559,দশরথ মাঝি,Dashrath Manjhi
1560,মানুয়েল নরিয়েগা,Manuel Noriega
1561,মাহবুব আলী খান,Mahbub Ali Khan
1562,মুনির মালিক,Munir Malik
1563,গোলাম মুস্তাফা,Golam Mustafa
1564,মোহাম্মদ শরীফ হোসেন,Mohammad Sharif Husain
1565,হানিফ মোহাম্মদ,Hanif Mohammad
1566,শার্লি ম্যাকলেইন,Shirley MacLaine
1567,জায়ন ম্যান্সফিল্ড,Jayne Mansfield
1568,রবিন মিলনার,Robin Milner
1569,সিরাজুর রহমান,Serajur Rahman
1570,রহিম উদ্দিন ভরসা,Rahim Uddin Bharosha
1571,রিতা আর. কলওয়েল,Rita R. Colwell
1572,সোফিয়া লরেন,Sophia Loren
1573,লায়লা নূর,Laila Nur
1574,লারিসা লাতিনিনা,Larisa Latynina
1575,লিওনিড রগোজভ,Leonid Rogozov
1576,শফিক রেহমান,Shafik Rehman
1577,শাকেব জালালি,Shakeb Jalali
1578,মোহাম্মদ শামসুজ্জোহা,Mohammad Shamsuzzoha
1579,শাহরিয়ার খান,Shahryar Khan
1580,আখতার সাদমানী,Akhtar Sadmani
1581,আবু শারাফ হিজবুল কাদের সাদেক,ASHK Sadek
1582,জর্জ সিগাল,George Segal
1583,সুধীর চক্রবর্তী,Sudhir Chakraborty
1584,সুনন্দা পট্টনায়ক,Sunanda Patnaik
1585,পিটার সেইন্সবারি,Peter Sainsbury
1586,রেজিনাল্ড স্কারলেট,Reginald Scarlett
1587,ডেভিড স্মিথ,David Smith
1588,ম্যাগি স্মিথ,Maggie Smith
1589,হারুন অর রশিদ খান,Harunur Rashid Khan
1590,হিতেশ্বর শইকীয়া,Hiteswar Saikia
1591,হেনরি কুপার,Henry Cooper
1592,ডেস হোর,Des Hoare
1593,হোসনে আরা রহমান,Hosne Ara Rahman
1594,বশীর হোসেন,Bashir Hossain
1595,জোন হ্যাকেট,Joan Hackett
1596,নিশা দেশাই বিসওয়াল,Nisha Desai Biswal
1597,ফার্নান্দো হিয়েরো,Fernando Hierro
1598,সুজাতা মহাপাত্র,Sujata Mohapatra
1599,খাতুন সাপনারা,Khatun Sapnara
1600,নাফিসা শাহ,Nafisa Shah
1601,অরবিন্দ কেজরীওয়াল,incumbent
1602,জিমি অ্যাডামস,Jimmy Adams
1603,অ্যাড্রিয়ানা,Adriana
1604,মাইকেল অ্যাথারটন,Michael Atherton
1605,মার্ক অ্যালেন,Mark Alleyne
1606,আকরাম খান,Akram Khan
1607,আনোয়ারুল আজীম,Md. Anwarul Azim Anar
1608,আবু আইয়ুব আল-মাসরি,Abu Ayyub al-Masri
1609,আবু রেজা মুহাম্মদ নেজামউদ্দিন নদভী,Abu Reza Muhammad Nezamuddin
1610,প্রবীণ আম্রে,Pravin Amre
1611,আরশাদ ওয়ার্সী,Arshad Warsi
1612,প্যাট্রিশিয়া আর্কেট,Patricia Arquette
1613,মিকি আর্থার,Mickey Arthur
1614,আলী,Ali
1615,আলী গহর খান মেহের,Ali Gohar Khan Mahar
1616,আশিন ওয়েরাথু,Ashin Wirathu
1617,আহসানুল হক চৌধুরী,Abul Kalam Md. Ahasanul Hoque Chowdhury
1618,আমিনুল ইসলাম বুলবুল,Aminul Islam
1619,উইল স্মিথ,Will Smith
1620,এইডান গিলেন,Aidan Gillen
1621,এএফএম আক্তারউদ্দিন,A. F. M. Akhtaruddin
1622,এম. এ. আউয়াল,M. A. Awal
1623,কাজী জিয়াউর রশিদ,Ziaur Rashid
1624,কার্ট এঙ্গেল,Kurt Angle
1625,কুঞ্জরানী দেবী,Kunjarani Devi
1626,কুশল চক্রবর্তী,Kushal Chakraborty
1627,কৌশিক গঙ্গোপাধ্যায়,Kaushik Ganguly
1628,অ্যান্ড্রু ক্যাডিক,Andrew Caddick
1629,ক্রিশ্চিয়ান কলসন,Christian Colson
1630,ক্রিস্টোফার ম্যাক্‌ক্যান্ড্‌লেস,Chris McCandless
1631,ক্রুতিকা দেসাই খান,Krutika Desai Khan
1632,গাই রিচি,Guy Ritchie
1633,গৌতমী,Gautami
1634,রেচেল গ্রিফিথস,Rachel Griffiths
